CE,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var,sn_x,FA_C_x,FA_DB_x,FA_iso_x
11,11,0,0,1,4.32772275,0.092517241,0,,,
12,11,0,0,1,5.555096808,0.094290243,0,,,
13,11,0,0,1,7.604340333,0.041822488,0,,,
14,11,0,0,1,10.08002158,0.104499826,0,,,
15,11,0,0,1,13.27957567,0.162590164,0,,,
16,11,0,0,1,17.24324458,0.394445447,0,,,
17,11,0,0,1,21.74485333,0.196816358,0,,,
18,11,0,0,1,26.64969792,0.241841998,0,,,
19,11,0,0,1,31.911479,0.28754563,0,,,
20,11,0,0,1,37.183271,0.817148904,0,,,
21,11,0,0,1,41.42265833,1.392421433,0,,,
22,11,0,0,1,45.8601785,0.484165215,0,,,
23,11,0,0,1,48.39479025,0.91089595,0,,,
24,11,0,0,1,51.31906117,0.534243965,0,,,
25,11,0,0,1,53.07324433,1.873518534,0,,,
26,11,0,0,1,53.4149965,0.754189504,0,,,
27,11,0,0,1,53.65569958,0.234469965,0,,,
28,11,0,0,1,53.80115733,1.310063325,0,,,
29,11,0,0,1,52.83600667,0.953882526,0,,,
30,11,0,0,1,52.4375845,0.837931504,0,,,
31,11,0,0,1,51.92281492,2.007536338,0,,,
32,11,0,0,1,50.8367315,0.808356,0,,,
33,11,0,0,1,49.16260733,0.716180282,0,,,
34,11,0,0,1,47.68151,0.958047372,0,,,
35,11,0,0,1,46.68837142,1.449756467,0,,,
36,11,0,0,1,45.03970475,0.93294896,0,,,
37,11,0,0,1,43.48847208,0.530610287,0,,,
38,11,0,0,1,41.434745,1.500889305,0,,,
39,11,0,0,1,40.03411333,1.041003926,0,,,
40,11,0,0,1,38.36892933,1.367875015,0,,,
41,11,0,0,1,36.496428,0.370311673,0,,,
42,11,0,0,1,34.3309505,0.479464079,0,,,
43,11,0,0,1,32.39809817,0.85477289,0,,,
44,11,0,0,1,30.84137692,0.319352075,0,,,
45,11,0,0,1,29.04975733,0.18171735,0,,,
46,11,0,0,1,26.74760292,0.240495992,0,,,
47,11,0,0,1,25.00314983,0.217368883,0,,,
48,11,0,0,1,23.28321992,0.549789322,0,,,
49,11,0,0,1,21.24763692,0.259676728,0,,,
50,11,0,0,1,19.60834392,0.448660406,0,,,
51,11,0,0,1,18.0337465,0.38921631,0,,,
52,11,0,0,1,16.18994008,0.484676623,0,,,
53,11,0,0,1,14.69504896,0.246441985,0,,,
54,11,0,0,1,13.26424392,0.237734319,0,,,
55,11,0,0,1,12.05692529,0.094392351,0,,,
56,11,0,0,1,10.94812163,0.073555475,0,,,
57,11,0,0,1,9.69162275,0.222117922,0,,,
58,11,0,0,1,8.540028708,0.069746254,0,,,
59,11,0,0,1,7.551503225,0.067437207,0,,,
60,11,0,0,1,6.856663225,0.148160891,0,,,
61,11,0,0,1,5.806023108,0.096102909,0,,,
62,11,0,0,1,5.224606,0.03378205,0,,,
63,11,0,0,1,4.478753,0.083162696,0,,,
64,11,0,0,1,3.945961842,0.031511317,0,,,
65,11,0,0,1,3.427092242,0.027972966,0,,,
66,11,0,0,1,3.005835608,0.035011042,0,,,
67,11,0,0,1,2.6318622,0.03361256,0,,,
68,11,0,0,1,2.157531508,0.015340657,0,,,
69,11,0,0,1,1.917518917,0.017864841,0,,,
70,11,0,0,1,1.63200065,0.011687576,0,,,
11,12,0,0,1,5.334613122,0.406806597,0,,,
12,12,0,0,1,6.763174833,0.243448632,0,,,
13,12,0,0,1,9.2696465,0.248667497,0,,,
14,12,0,0,1,11.6786625,0.51200499,0,,,
15,12,0,0,1,15.61948017,0.97839913,0,,,
16,12,0,0,1,19.90691133,0.38339095,0,,,
17,12,0,0,1,23.79103778,0.876778776,0,,,
18,12,0,0,1,29.88006556,1.361049646,0,,,
19,12,0,0,1,36.18475489,2.278352852,0,,,
20,12,0,0,1,40.77186489,4.06848774,0,,,
21,12,0,0,1,44.06771222,2.970797257,0,,,
22,12,0,0,1,49.41588,4.222421392,0,,,
