Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	135.09229	134.54778	136.34225	[134.54778..136.34225]	Sum	[119.864944..140.34126]	[118.271484..134.22702]	[119.47826..150.81894]	[118.271484..150.81894]	
					PC 17:0/16:1	[116.42571..140.34126]	[118.271484..134.22702]	[119.47826..150.81894]	[116.42571..150.81894]	
					PC 16:1/17:0	[0.0..3.7892141]	[0.0..0.0]	[0.0..0.0]	[0.0..3.7892141]	
PC 37:3:0	126.686455	125.835556	126.36416	[125.835556..126.686455]	Sum	[112.29492..170.08643]	[109.88155..155.26825]	[98.71129..174.99896]	[98.71129..174.99896]	
					PC 20:3 (5z-11z)/17:0	[0.0..7.4799004]	[0.0..6.8282404]	[0.0..6.0810447]	[0.0..7.4799004]	
					PC 17:0/20:3 (5z-11z)	[112.29492..162.60654]	[109.88155..148.44002]	[98.71129..168.91792]	[98.71129..168.91792]	
PC 39:4:0	60.587387	60.387844	60.06935	[60.06935..60.587387]	Sum	[57.340275..64.393074]	[53.61498..60.044632]	[59.98448..67.57111]	[53.61498..67.57111]	
					PC 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/22:4 (7z-10z)	[57.340275..64.393074]	[53.61498..60.044632]	[59.98448..67.57111]	[53.61498..67.57111]	
PE 31:1:0	38.62508	38.688454	39.336384	[38.62508..39.336384]	Sum	[40.231323..43.366188]	[37.34005..40.525036]	[34.738888..44.024475]	[34.738888..44.024475]	
					PE 17:0/14:1	[39.624195..43.366188]	[36.62727..40.525036]	[34.40168..44.024475]	[34.40168..44.024475]	
					PE 14:1/17:0	[0.0..0.6071267]	[0.0..0.76997566]	[0.0..0.39622027]	[0.0..0.76997566]	
PE 33:1:0	65.968864	66.81631	66.52569	[65.968864..66.81631]	Sum	[65.91776..68.66645]	[62.96354..66.97539]	[62.055912..74.597206]	[62.055912..74.597206]	
					PE 17:0/16:1	[65.91776..68.66645]	[62.96354..66.97539]	[62.055912..74.597206]	[62.055912..74.597206]	
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 37:3:0	62.39117	62.49306	61.925285	[61.925285..62.49306]	Sum	[57.18243..61.831985]	[51.442753..81.43246]	[55.690903..68.32702]	[51.442753..81.43246]	
					PE 20:3 (5z-11z)/17:0	[0.0..0.5515241]	[0.0..2.5250375]	[0.0..0.9433711]	[0.0..2.5250375]	
					PE 17:0/20:3 (5z-11z)	[57.18243..61.280464]	[51.442753..78.90742]	[55.690903..67.38365]	[51.442753..78.90742]	
PE 39:4:0	30.810703	30.440172	30.446083	[30.440172..30.810703]	Sum	[20.929504..33.719227]	[15.906342..34.987343]	[24.14768..33.02672]	[15.906342..34.987343]	
					PE 22:4 (7z-10z)/17:0	[0.0..4.036809]	[0.0..5.952204]	[0.0..0.6158073]	[0.0..5.952204]	
					PE 17:0/22:4 (7z-10z)	[20.929504..29.682417]	[15.906342..29.035141]	[24.14768..32.41091]	[15.906342..32.41091]	
PG 31:1:0	38.3629	38.400204	38.99637	[38.3629..38.99637]	Sum	[36.674072..39.243645]	[36.35138..41.20544]	[36.67621..41.678127]	[36.35138..41.678127]	
					PG 17:0/14:1	[34.866787..38.002674]	[33.961014..40.923164]	[34.746613..40.821426]	[33.961014..40.923164]	
					PG 14:1/17:0	[1.1732253..1.923689]	[0.2542536..2.6787567]	[0.7697034..2.1682475]	[0.2542536..2.6787567]	
PG 33:1:0	67.3156	67.37677	67.9723	[67.3156..67.9723]	Sum	[62.70673..68.38883]	[65.13346..73.17228]	[66.92223..69.81162]	[62.70673..73.17228]	
					PG 17:0/16:1	[60.46039..68.38883]	[62.59529..73.17228]	[64.3833..69.47356]	[60.46039..73.17228]	
					PG 16:1/17:0	[0.0..2.3936093]	[0.0..2.7805467]	[0.33428505..2.5834389]	[0.0..2.7805467]	
PG 37:3:0	64.588425	65.064964	64.2839	[64.2839..65.064964]	Sum	[53.895115..81.55473]	[54.995674..72.16377]	[52.15676..79.51863]	[52.15676..81.55473]	
					PG 20:3 (5z-11z)/17:0	[0.0..6.1806726]	[0.41394597..5.1930943]	[0.0..6.2970557]	[0.0..6.2970557]	
					PG 17:0/20:3 (5z-11z)	[53.895115..75.374054]	[54.58173..66.97068]	[52.15676..73.22157]	[52.15676..75.374054]	
PG 39:4:0	30.684845	30.981895	30.514606	[30.514606..30.981895]	Sum	[23.024672..31.914057]	[23.307243..34.544094]	[23.284721..35.68029]	[23.024672..35.68029]	
					PG 22:4 (7z-10z)/17:0	[0.10210498..2.9646938]	[0.0..3.9740992]	[0.18355075..3.8183048]	[0.0..3.9740992]	
					PG 17:0/22:4 (7z-10z)	[22.922565..28.949362]	[23.307243..30.569996]	[23.10117..31.861988]	[22.922565..31.861988]	
PI 31:1:0	36.52367	36.579697	36.85036	[36.52367..36.85036]	Sum	[38.20178..41.997982]	[37.40769..40.49497]	[34.758938..42.5473]	[34.758938..42.5473]	
					PI 14:1_17:0	[38.20178..41.997982]	[37.40769..40.49497]	[34.758938..42.5473]	[34.758938..42.5473]	
PI 33:1:0	70.65297	71.14301	70.76907	[70.65297..71.14301]	Sum	[70.02497..73.19685]	[68.181175..70.72726]	[67.411354..80.698166]	[67.411354..80.698166]	
					PI 16:1_17:0	[70.02497..73.19685]	[68.181175..70.72726]	[67.411354..80.698166]	[67.411354..80.698166]	
PI 37:3:0	61.688755	61.944878	61.121494	[61.121494..61.944878]	Sum	[56.199005..69.92026]	[53.57407..69.2746]	[58.698303..72.45536]	[53.57407..72.45536]	
					PI 17:0_20:3 (5z-11z)	[56.199005..69.92026]	[53.57407..69.2746]	[58.698303..72.45536]	[53.57407..72.45536]	
PI 39:4:0	27.911448	28.282436	27.676998	[27.676998..28.282436]	Sum	[24.641048..32.522484]	[24.121206..28.005735]	[26.067465..31.241152]	[24.121206..32.522484]	
					PI 17:0_22:4 (7z-10z)	[24.641048..32.522484]	[24.121206..28.005735]	[26.067465..31.241152]	[24.121206..32.522484]	
PS 31:1:0	36.746834	36.363956	37.224617	[36.363956..37.224617]	Sum	[36.38151..38.289654]	[35.267883..39.019222]	[35.816998..43.337765]	[35.267883..43.337765]	
					PS 17:0/14:1	[36.38151..38.289654]	[35.267883..39.019222]	[35.816998..43.337765]	[35.267883..43.337765]	
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 33:1:0	68.4044	69.14261	70.02109	[68.4044..70.02109]	Sum	[68.20283..73.74895]	[61.92597..70.999825]	[64.76216..75.975815]	[61.92597..75.975815]	
					PS 17:0/16:1	[66.41139..73.74895]	[60.1743..70.999825]	[64.63127..75.975815]	[60.1743..75.975815]	
					PS 16:1/17:0	[0.0..1.9174727]	[0.0..1.9879953]	[0.0..0.15195163]	[0.0..1.9879953]	
