Species	PRI_240604_eggPEO_25-35_1.mzXML	PRI_240604_eggPEO_25-35_2.mzXML	PRI_240604_eggPEO_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPEO_25-35_1.mzXML	FAI.FC_240604_eggPEO_25-35_2.mzXML	FAI.FC_240604_eggPEO_25-35_3.mzXML	FAI.FC_Group-1
PE O- 34:3:0	6.2179813	5.9326444	6.406699	[5.9326444..6.406699]	Sum	[0.1311759..0.1586951]	[0.11743537..0.14517184]	[0.10756099..0.14668784]	[0.10756099..0.1586951]	
					PE O- 16:0/18:3 (6z-9z)	[0.1311759..0.1586951]	[0.11743539..0.14517185]	[0.10756099..0.14668785]	[0.10756099..0.1586951]	
PE O- 36:2:0	41.14202	41.85199	41.770905	[41.14202..41.85199]	Sum	[30.604414..34.576256]	[30.222109..33.48117]	[30.71441..34.646812]	[30.222109..34.646812]	
					PE O- 18:0/18:2	[30.604414..34.576256]	[30.222109..33.481174]	[30.71441..34.646816]	[30.222109..34.646816]	
PE O- 36:3:0	24.89091	23.884138	24.238321	[23.884138..24.89091]	Sum	[29.876307..32.036896]	[29.175896..31.131613]	[30.1332..33.027763]	[29.175896..33.027763]	
					PE O- 18:0/18:3 (6z-9z)	[0.42037502..0.45842832]	[0.40636006..0.4666952]	[0.3839969..0.494587]	[0.3839969..0.494587]	
					PE O- 18:1/18:2	[25.226189..27.135674]	[24.618216..26.099945]	[25.339567..27.818918]	[24.618216..27.818918]	
					PE O- 18:2/18:1	[4.2045584..4.4808416]	[4.1465173..4.625309]	[4.137767..4.7142653]	[4.137767..4.7142653]	
PE O- 36:5:0	1.358752	1.4195001	1.4456147	[1.358752..1.4456147]	Sum	[1.4125888..1.6548381]	[1.3646116..1.685261]	[1.3782681..1.614372]	[1.3646116..1.685261]	
					PE O- 16:1/20:4 (5z-8z)	[1.4125888..1.6548381]	[1.3646119..1.685261]	[1.3782682..1.614372]	[1.3646119..1.685261]	
PE O- 38:5:0	6.008596	6.188627	5.7918463	[5.7918463..6.188627]	Sum	[8.49969..9.334971]	[9.04816..9.646541]	[9.062705..9.275898]	[8.49969..9.646541]	
					PE O- 18:1/20:4 (5z-8z)	[1.5513225..1.7596992]	[1.5266358..1.8246558]	[1.5553738..1.7388219]	[1.5266358..1.8246558]	
					PE O- 16:0/22:5 (4z-7z)	[5.808968..6.4319177]	[6.2588654..6.5224705]	[6.1684804..6.4589515]	[5.808968..6.5224705]	
					PE O- 16:1/22:4 (7z-10z)	[1.1393998..1.1985887]	[1.2057886..1.3025892]	[1.1554031..1.2615736]	[1.1393998..1.3025892]	
PE O- 38:6:0	7.3376417	7.1729407	7.1555705	[7.1555705..7.3376417]	Sum	[5.219826..6.1777625]	[4.618402..6.0321875]	[4.1361732..6.8224363]	[4.1361732..6.8224363]	
					PE O- 16:1/22:5 (4z-7z)	[5.219826..6.1777625]	[4.618402..6.0321875]	[4.136174..6.8224363]	[4.136174..6.8224363]	
PE O- 40:5:0	6.2185073	6.427627	6.1086464	[6.1086464..6.427627]	Sum	[10.41925..12.381229]	[10.606305..11.651572]	[10.114372..10.821626]	[10.114372..12.381229]	
					PE O- 18:0/22:5 (4z-7z)	[7.604305..8.990669]	[7.525774..8.591517]	[7.334134..8.000907]	[7.334134..8.990669]	
					PE O- 18:1/22:4 (7z-10z)	[2.7142985..3.39056]	[2.8860762..3.0805318]	[2.7802386..2.875153]	[2.7142985..3.39056]	
PE O- 40:6:0	6.8255877	7.1225324	7.082396	[6.8255877..7.1225324]	Sum	[5.71482..10.852566]	[9.415707..11.275385]	[6.930121..10.723697]	[5.71482..11.275385]	
					PE O- 18:0/22:6 (4z)	[0.0..3.8123958]	[3.5820897..4.1444345]	[0.0..3.815626]	[0.0..4.1444345]	
					PE O- 18:1/22:5 (4z-7z)	[5.71482..7.0401697]	[5.5338135..7.1309524]	[6.64238..6.930122]	[5.5338135..7.1309524]	
